,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
70,146,94.5,0.0,0.0,55.5,0.7,2018,0,0.0,0.0,0.0,10750120260001il,10750il,10750120il,il
71,142,95.8,0.0,1.4,52.1,1.4,2017,0,0.0,0.0,0.0,10750120260001il,10750il,10750120il,il
72,165,97.6,0.0,0.0,46.1,2.8,2021,0,0.5455,0.0,0.3636,10860010260001il,10860il,10860010il,il
73,182,97.3,0.0,1.6,37.4,2.2,2019,0,0.0,0.0,0.0,10860010260001il,10860il,10860010il,il
74,178,98.3,0.0,0.0,40.4,0.0,2018,0,0.0,0.0,0.0,10860010260001il,10860il,10860010il,il
75,185,98.4,0.0,0.0,37.3,1.6,2017,0,0.0,0.0,0.0,10860010260001il,10860il,10860010il,il
76,73,91.8,0.0,0.0,54.8,0.0,2021,0,0.3636,0.0,0.2727,10860020260001il,10860il,10860020il,il
77,64,96.9,0.0,1.6,51.6,1.5,2019,0,0.0,0.0,0.0,10860020260001il,10860il,10860020il,il
78,64,100.0,0.0,0.0,53.1,0.0,2018,0,0.0,0.0,0.0,10860020260001il,10860il,10860020il,il
79,58,100.0,0.0,0.0,48.3,0.0,2017,0,0.0,0.0,0.0,10860020260001il,10860il,10860020il,il
80,360,94.7,0.0,0.0,27.2,3.1,2021,0,0.0,0.0,0.0909,11012002C260001il,11012il,11012002il,il
81,379,94.7,0.8,1.8,29.6,4.2,2019,0,0.0,0.0,0.0,11012002C260001il,11012il,11012002il,il
82,391,95.7,0.0,0.0,26.6,0.5,2018,0,0.0,0.0,0.0,11012002C260001il,11012il,11012002il,il
83,418,95.7,0.7,0.5,29.7,3.6,2017,0,0.0,0.0,0.0,11012002C260001il,11012il,11012002il,il
84,151,96.0,0.0,0.0,58.3,4.0,2021,0,0.0,0.0,0.0909,11012003C260001il,11012il,11012003il,il
85,165,96.4,0.0,2.4,56.4,1.9,2019,0,0.0,0.0,0.0,11012003C260001il,11012il,11012003il,il
86,172,97.7,0.0,0.0,60.5,0.9,2018,0,0.0,0.0,0.0,11012003C260001il,11012il,11012003il,il
87,177,96.6,1.1,1.7,58.8,0.9,2017,0,0.0,0.0,0.0,11012003C260001il,11012il,11012003il,il
88,356,95.2,0.0,2.8,43.3,3.7,2021,0,0.3636,0.0,0.2727,11012004C260001il,11012il,11012004il,il
89,394,96.2,0.5,1.8,50.8,5.1,2019,0,0.0,0.0,0.0,11012004C260001il,11012il,11012004il,il
90,390,95.1,0.0,0.0,46.2,1.1,2018,0,0.0,0.0,0.0,11012004C260001il,11012il,11012004il,il
91,426,95.8,0.9,2.1,44.4,0.3,2017,0,0.0,0.0,0.0,11012004C260001il,11012il,11012004il,il
92,756,85.1,5.0,4.0,43.7,5.5,2021,0,0.4545,0.0,0.2273,110150010260001il,11015il,11015001il,il
93,811,87.2,3.9,4.1,39.7,6.8,2019,0,0.0,0.0,0.0,110150010260001il,11015il,11015001il,il
94,803,86.8,4.0,5.0,37.4,3.0,2018,0,0.0,0.0,0.0,110150010260001il,11015il,11015001il,il
95,806,89.0,3.2,4.7,39.7,3.5,2017,0,0.0,0.0,0.0,110150010260001il,11015il,11015001il,il
96,921,86.4,3.0,5.1,54.6,3.1,2021,0,0.3636,0.1818,0.4545,110150020260001il,11015il,11015002il,il
97,954,88.1,3.9,4.1,47.4,3.0,2019,0,0.0,0.0,0.0,110150020260001il,11015il,11015002il,il
98,1013,88.3,3.6,4.3,46.8,1.1,2018,0,0.0,0.0,0.0,110150020260001il,11015il,11015002il,il
99,1072,88.2,4.0,3.7,50.3,1.3,2017,0,0.0,0.0,0.0,110150020260001il,11015il,11015002il,il
100,72,90.3,0.0,0.0,41.7,6.9,2021,0,0.0,0.0,0.0909,110150050260002il,11015il,11015005il,il
101,73,89.0,1.4,4.1,42.5,2.6,2019,0,0.0,0.0,0.0,110150050260002il,11015il,11015005il,il
102,78,94.9,0.0,0.0,41.0,0.0,2018,0,0.0,0.0,0.0,110150050260002il,11015il,11015005il,il
103,75,100.0,0.0,0.0,33.3,0.0,2017,0,0.0,0.0,0.0,110150050260002il,11015il,11015005il,il
104,285,94.7,0.0,0.0,33.7,2.2,2021,0,0.0,0.0,0.0909,110180030260001il,11018il,11018003il,il
105,336,95.2,1.2,0.9,4.2,3.3,2019,0,0.0,0.0,0.0,110180030260001il,11018il,11018003il,il
106,330,96.1,0.0,0.0,47.3,2.1,2018,0,0.0,0.0,0.0,110180030260001il,11018il,11018003il,il
107,325,96.6,0.9,0.0,42.2,3.2,2017,0,0.0,0.0,0.0,110180030260001il,11018il,11018003il,il
108,292,97.3,0.0,0.0,36.6,1.0,2021,0,0.7273,0.0,0.4545,110180770260001il,11018il,11018077il,il
109,269,98.1,0.0,0.0,38.7,1.0,2019,0,0.0,0.0,0.0,110180770260001il,11018il,11018077il,il
110,278,97.8,0.0,0.0,35.6,1.1,2018,0,0.0,0.0,0.0,110180770260001il,11018il,11018077il,il
111,274,97.1,0.0,0.0,29.2,2.2,2017,0,0.0,0.0,0.0,110180770260001il,11018il,11018077il,il
112,286,88.8,0.0,4.5,31.1,2.1,2021,0,0.0,0.0,0.0909,110213010260001il,11021il,11021301il,il
113,287,93.0,1.0,2.8,33.8,2.7,2019,0,0.0,0.0,0.0,110213010260001il,11021il,11021301il,il
114,298,94.0,0.0,0.0,26.5,0.0,2018,0,0.0,0.0,0.0,110213010260001il,11021il,11021301il,il
115,313,93.6,1.0,2.6,24.9,0.6,2017,0,0.0,0.0,0.0,110213010260001il,11021il,11021301il,il
116,190,95.8,0.0,0.0,35.8,4.0,2021,0,0.4545,0.0,0.3182,110213020260001il,11021il,11021302il,il
117,193,98.4,0.0,0.5,34.7,2.8,2019,0,0.0,0.0,0.0,110213020260001il,11021il,11021302il,il
118,199,97.0,0.0,0.0,37.7,1.0,2018,0,0.0,0.0,0.0,110213020260001il,11021il,11021302il,il
119,194,95.9,0.0,0.5,29.9,0.5,2017,0,0.0,0.0,0.0,110213020260001il,11021il,11021302il,il
120,308,93.2,0.0,3.2,42.5,3.6,2021,0,0.0,0.0,0.0909,110213050260001il,11021il,11021305il,il
121,322,93.5,1.6,2.5,39.1,2.3,2019,0,0.0,0.0,0.0,110213050260001il,11021il,11021305il,il
122,310,94.8,0.0,0.0,41.3,0.6,2018,0,0.0,0.0,0.0,110213050260001il,11021il,11021305il,il
123,284,96.5,1.1,0.4,35.9,0.4,2017,0,0.0,0.0,0.0,110213050260001il,11021il,11021305il,il
124,313,54.0,0.0,43.5,41.5,2.0,2021,0,0.0,0.0,0.0909,110213060260001il,11021il,11021306il,il
125,332,53.0,0.6,45.2,47.0,2.0,2019,0,0.0,0.0,0.0,110213060260001il,11021il,11021306il,il
126,340,54.7,0.0,44.1,48.5,1.3,2018,0,0.0,0.0,0.0,110213060260001il,11021il,11021306il,il
127,346,56.9,0.3,41.9,37.3,0.5,2017,0,0.0,0.0,0.0,110213060260001il,11021il,11021306il,il
128,193,93.3,0.0,0.0,52.3,1.0,2021,0,0.5455,0.0,0.3636,110230010260001il,11023il,11023001il,il
129,183,95.6,0.0,0.0,47.0,6.3,2019,0,0.0,0.0,0.0,110230010260001il,11023il,11023001il,il
130,193,91.7,0.0,0.0,47.2,3.9,2018,0,0.0,0.0,0.0,110230010260001il,11023il,11023001il,il
131,199,93.0,1.0,0.5,46.2,2.6,2017,0,0.0,0.0,0.0,110230010260001il,11023il,11023001il,il
132,79,97.5,0.0,0.0,59.5,8.6,2021,0,0.0,0.0,0.0909,110230030260001il,11023il,11023003il,il
133,102,99.0,0.0,1.0,48.0,7.6,2019,0,0.0,0.0,0.0,110230030260001il,11023il,11023003il,il
