,totaltested,mathpass,white,black,hispanic,lowincome,charter,year,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
148,26,15.4,96.15,0.0,0.0,38.46,0,2021,0.0909,0.0,0.1364,110870010260002il,1108il,11087001026il,il
149,19,5.3,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,110870010260002il,1108il,11087001026il,il
150,28,21.5,100.0,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,110870010260002il,1108il,11087001026il,il
151,76,40.9,100.0,0.0,0.0,43.42,0,2017,0.0,0.0,0.0,110870010260002il,1108il,11087001026il,il
152,24,0.0,100.0,0.0,0.0,50.0,0,2021,0.0,0.0,0.0909,11087003A260001il,1108il,11087003A26il,il
153,23,13.0,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,11087003A260001il,1108il,11087003A26il,il
154,32,18.8,100.0,0.0,0.0,65.62,0,2018,0.0,0.0,0.0,11087003A260001il,1108il,11087003A26il,il
155,120,26.1,100.0,0.0,0.0,70.0,0,2017,0.0,0.0,0.0,11087003A260001il,1108il,11087003A26il,il
156,78,16.7,100.0,0.0,0.0,34.62,0,2021,0.0,0.0,0.0,110870040260001il,1108il,11087004026il,il
157,69,33.3,94.2,0.0,0.0,43.48,0,2019,0.0,0.0,0.0,110870040260001il,1108il,11087004026il,il
158,71,32.4,98.59,0.0,0.0,43.66,0,2018,0.0,0.0,0.0,110870040260001il,1108il,11087004026il,il
159,94,39.4,98.94,0.0,0.0,25.53,0,2017,0.0,0.0,0.0,110870040260001il,1108il,11087004026il,il
160,32,18.8,100.0,0.0,0.0,43.75,0,2021,0.0909,0.0,0.1364,11087005A260001il,1108il,11087005A26il,il
161,17,35.3,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,11087005A260001il,1108il,11087005A26il,il
162,26,30.8,100.0,0.0,0.0,42.31,0,2018,0.0,0.0,0.0,11087005A260001il,1108il,11087005A26il,il
163,32,31.3,96.88,0.0,0.0,25.0,0,2017,0.0,0.0,0.0,11087005A260001il,1108il,11087005A26il,il
164,51,11.8,100.0,0.0,0.0,23.53,0,2021,0.3636,0.1818,0.4545,110870210260001il,1108il,11087021026il,il
165,56,21.4,89.29,0.0,0.0,33.93,0,2019,0.0,0.0,0.0,110870210260001il,1108il,11087021026il,il
166,62,16.1,95.16,0.0,0.0,50.0,0,2018,0.0,0.0,0.0,110870210260001il,1108il,11087021026il,il
167,53,32.1,98.11,0.0,0.0,26.42,0,2017,0.0,0.0,0.0,110870210260001il,1108il,11087021026il,il
168,48,20.8,95.83,0.0,0.0,39.58,0,2021,0.0,0.0,0.0909,120130250260001il,1201il,12013025026il,il
169,47,19.1,97.87,0.0,0.0,31.91,0,2019,0.0,0.0,0.0,120130250260001il,1201il,12013025026il,il
170,49,28.6,93.88,0.0,0.0,32.65,0,2018,0.0,0.0,0.0,120130250260001il,1201il,12013025026il,il
171,39,25.6,100.0,0.0,0.0,30.77,0,2017,0.0,0.0,0.0,120130250260001il,1201il,12013025026il,il
172,77,9.1,96.1,0.0,0.0,24.68,0,2021,0.0,0.0909,0.1818,120130350260001il,1201il,12013035026il,il
173,57,8.9,96.49,0.0,0.0,50.88,0,2019,0.0,0.0,0.0,120130350260001il,1201il,12013035026il,il
174,94,14.9,91.49,0.0,0.0,45.74,0,2018,0.0,0.0,0.0,120130350260001il,1201il,12013035026il,il
175,82,14.8,98.78,0.0,0.0,45.12,0,2017,0.0,0.0,0.0,120130350260001il,1201il,12013035026il,il
176,28,21.5,82.14,0.0,0.0,0.0,0,2021,0.2727,0.0,0.2273,120170010260001il,1201il,12017001026il,il
177,28,18.5,96.43,0.0,0.0,64.29,0,2019,0.0,0.0,0.0,120170010260001il,1201il,12017001026il,il
178,27,25.9,96.3,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,120170010260001il,1201il,12017001026il,il
179,18,27.8,100.0,0.0,0.0,38.89,0,2017,0.0,0.0,0.0,120170010260001il,1201il,12017001026il,il
180,109,23.8,90.83,0.0,0.0,35.78,0,2021,0.0,0.0,0.0909,120170020260001il,1201il,12017002026il,il
181,105,17.1,94.29,0.0,0.0,37.14,0,2019,0.0,0.0,0.0,120170020260001il,1201il,12017002026il,il
182,100,32.0,88.0,0.0,0.0,31.0,0,2018,0.0,0.0,0.0,120170020260001il,1201il,12017002026il,il
183,113,27.8,91.15,1.77,1.77,37.17,0,2017,0.0,0.0,0.0,120170020260001il,1201il,12017002026il,il
184,18,27.8,100.0,0.0,0.0,0.0,0,2021,0.0909,0.0,0.1364,120170030260001il,1201il,12017003026il,il
185,21,33.4,100.0,0.0,0.0,0.0,0,2019,0.0,0.0,0.0,120170030260001il,1201il,12017003026il,il
186,25,24.0,100.0,0.0,0.0,0.0,0,2018,0.0,0.0,0.0,120170030260001il,1201il,12017003026il,il
187,26,34.6,100.0,0.0,0.0,19.23,0,2017,0.0,0.0,0.0,120170030260001il,1201il,12017003026il,il
188,41,17.0,100.0,0.0,0.0,46.34,0,2021,0.0909,0.0,0.1364,120170040260001il,1201il,12017004026il,il
189,41,25.0,95.12,0.0,0.0,36.59,0,2019,0.0,0.0,0.0,120170040260001il,1201il,12017004026il,il
190,35,25.8,94.29,0.0,0.0,37.14,0,2018,0.0,0.0,0.0,120170040260001il,1201il,12017004026il,il
191,49,37.5,93.88,0.0,0.0,24.49,0,2017,0.0,0.0,0.0,120170040260001il,1201il,12017004026il,il
192,100,22.0,96.0,0.0,0.0,35.0,0,2021,0.0,0.0,0.0909,120400010260001il,1204il,12040001026il,il
193,118,22.2,96.61,0.0,0.0,33.9,0,2019,0.0,0.0,0.0,120400010260001il,1204il,12040001026il,il
194,108,27.8,97.22,0.0,0.0,39.81,0,2018,0.0,0.0,0.0,120400010260001il,1204il,12040001026il,il
195,106,30.5,100.0,0.0,0.0,21.7,0,2017,0.0,0.0,0.0,120400010260001il,1204il,12040001026il,il
196,61,4.9,93.44,0.0,0.0,44.26,0,2021,0.0909,0.0,0.1364,120510100260001il,1205il,12051010026il,il
197,59,16.9,94.92,0.0,0.0,52.54,0,2019,0.0,0.0,0.0,120510100260001il,1205il,12051010026il,il
198,63,19.1,93.65,0.0,0.0,49.21,0,2018,0.0,0.0,0.0,120510100260001il,1205il,12051010026il,il
199,210,20.7,94.76,1.43,0.48,56.19,0,2017,0.0,0.0,0.0,120510100260001il,1205il,12051010026il,il
200,80,13.8,93.75,0.0,0.0,45.0,0,2021,0.1818,0.0909,0.2727,120510200260008il,1205il,12051020026il,il
201,72,13.9,90.28,0.0,0.0,50.0,0,2019,0.0,0.0,0.0,120510200260008il,1205il,12051020026il,il
202,67,10.5,98.51,0.0,0.0,46.27,0,2018,0.0,0.0,0.0,120510200260008il,1205il,12051020026il,il
203,79,10.3,94.94,3.8,1.27,53.16,0,2017,0.0,0.0,0.0,120510200260008il,1205il,12051020026il,il
204,161,17.4,91.3,0.0,0.0,26.71,0,2021,0.4545,0.0909,0.3182,120800010260001il,1208il,12080001026il,il
205,157,17.8,92.99,0.0,0.0,42.68,0,2019,0.0,0.0,0.0,120800010260001il,1208il,12080001026il,il
206,172,23.8,91.86,0.0,0.0,41.28,0,2018,0.0,0.0,0.0,120800010260001il,1208il,12080001026il,il
207,162,25.2,95.06,3.7,0.0,35.8,0,2017,0.0,0.0,0.0,120800010260001il,1208il,12080001026il,il
208,63,17.5,87.3,0.0,0.0,33.33,0,2021,0.0909,0.0,0.1364,130140010260001il,1301il,13014001026il,il
209,65,26.1,89.23,0.0,0.0,44.62,0,2019,0.0,0.0,0.0,130140010260001il,1301il,13014001026il,il
210,85,34.2,91.76,0.0,0.0,29.41,0,2018,0.0,0.0,0.0,130140010260001il,1301il,13014001026il,il
211,70,32.9,92.86,1.43,4.29,32.86,0,2017,0.0,0.0,0.0,130140010260001il,1301il,13014001026il,il
212,89,32.6,91.01,0.0,0.0,17.98,0,2021,0.0,0.0,0.0909,130140030260006il,1301il,13014003026il,il
