,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
152,2019,31401060004nyc,7.0,314010nyc,314nyc,57,96,1,2,nyc,390,0.0,0.0,0.0,0.0,0
153,2021,31401060004nyc,5.0,314010nyc,314nyc,60,96,0,2,nyc,404,0.48,0.0,0.48,0.96,0
155,2017,31501060012nyc,5.0,315010nyc,315nyc,44,74,9,7,nyc,1131,0.0,0.0,0.0,0.0,0
156,2018,31501060012nyc,7.0,315010nyc,315nyc,46,73,9,8,nyc,1134,0.0,0.0,0.0,0.0,0
157,2019,31501060012nyc,5.0,315010nyc,315nyc,49,72,10,8,nyc,1094,0.0,0.0,0.0,0.0,0
158,2021,31501060012nyc,7.0,315010nyc,315nyc,47,68,11,8,nyc,1018,0.38,0.04,0.38,0.68,0
160,2017,31502060006nyc,9.0,315020nyc,315nyc,63,64,13,8,nyc,727,0.0,0.0,0.0,0.0,0
161,2018,31502060006nyc,7.0,315020nyc,315nyc,65,62,15,8,nyc,746,0.0,0.0,0.0,0.0,0
162,2019,31502060006nyc,5.0,315020nyc,315nyc,65,61,15,7,nyc,733,0.0,0.0,0.0,0.0,0
163,2021,31502060006nyc,8.0,315020nyc,315nyc,66,60,14,9,nyc,722,0.48,0.0,0.48,0.96,0
165,2017,31601060051nyc,1.0,316010nyc,316nyc,19,83,3,3,nyc,1022,0.0,0.0,0.0,0.0,0
166,2018,31601060051nyc,1.0,316010nyc,316nyc,24,81,3,3,nyc,1033,0.0,0.0,0.0,0.0,0
167,2019,31601060051nyc,1.0,316010nyc,316nyc,24,80,3,3,nyc,1050,0.0,0.0,0.0,0.0,0
168,2021,31601060051nyc,2.0,316010nyc,316nyc,25,77,3,4,nyc,1016,0.46,0.0,0.46,0.92,0
170,2017,31701060007nyc,4.0,317010nyc,317nyc,49,92,3,3,nyc,521,0.0,0.0,0.0,0.0,0
171,2018,31701060007nyc,4.0,317010nyc,317nyc,49,93,2,3,nyc,492,0.0,0.0,0.0,0.0,0
172,2019,31701060007nyc,2.0,317010nyc,317nyc,45,93,2,3,nyc,498,0.0,0.0,0.0,0.0,0
173,2021,31701060007nyc,6.0,317010nyc,317nyc,47,90,2,3,nyc,491,0.48,0.0,0.48,0.96,0
175,2017,40204040001nyc,4.0,402040nyc,402nyc,38,95,1,2,nyc,77,0.0,0.0,0.0,0.0,0
176,2018,40204040001nyc,6.0,402040nyc,402nyc,52,94,1,2,nyc,72,0.0,0.0,0.0,0.0,0
177,2019,40204040001nyc,12.0,402040nyc,402nyc,47,95,2,1,nyc,64,0.0,0.0,0.0,0.0,0
178,2021,40204040001nyc,6.0,402040nyc,402nyc,37,95,0,2,nyc,52,0.0,0.0,0.0,0.0,0
180,2017,40302060001nyc,11.0,403020nyc,403nyc,33,94,2,1,nyc,330,0.0,0.0,0.0,0.0,0
181,2018,40302060001nyc,0.0,403020nyc,403nyc,38,94,2,2,nyc,353,0.0,0.0,0.0,0.0,0
182,2019,40302060001nyc,2.0,403020nyc,403nyc,37,94,1,1,nyc,378,0.0,0.0,0.0,0.0,0
183,2021,40302060001nyc,3.0,403020nyc,403nyc,39,94,1,1,nyc,381,0.48,0.08,0.48,0.8,0
185,2017,40901040002nyc,0.0,409010nyc,409nyc,36,90,1,3,nyc,171,0.0,0.0,0.0,0.0,0
186,2018,40901040002nyc,2.0,409010nyc,409nyc,39,89,1,2,nyc,188,0.0,0.0,0.0,0.0,0
187,2019,40901040002nyc,3.0,409010nyc,409nyc,37,90,1,2,nyc,186,0.0,0.0,0.0,0.0,0
188,2021,40901040002nyc,2.0,409010nyc,409nyc,30,91,0,2,nyc,183,0.28,0.0,0.28,0.56,0
190,2017,41101040002nyc,2.0,411010nyc,411nyc,53,96,0,2,nyc,214,0.0,0.0,0.0,0.0,0
191,2018,41101040002nyc,2.0,411010nyc,411nyc,61,94,0,2,nyc,201,0.0,0.0,0.0,0.0,0
192,2019,41101040002nyc,2.0,411010nyc,411nyc,58,94,0,3,nyc,187,0.0,0.0,0.0,0.0,0
193,2021,41101040002nyc,2.0,411010nyc,411nyc,47,94,0,3,nyc,173,0.24,0.0,0.24,0.48,0
195,2017,41401040001nyc,14.0,414010nyc,414nyc,55,92,1,1,nyc,114,0.0,0.0,0.0,0.0,0
196,2018,41401040001nyc,8.0,414010nyc,414nyc,60,91,1,1,nyc,111,0.0,0.0,0.0,0.0,0
197,2019,41401040001nyc,0.0,414010nyc,414nyc,57,91,1,1,nyc,120,0.0,0.0,0.0,0.0,0
198,2021,41401040001nyc,10.0,414010nyc,414nyc,56,93,1,1,nyc,130,0.46,0.0,0.46,0.92,0
200,2017,42302040003nyc,9.0,423020nyc,423nyc,50,95,1,1,nyc,271,0.0,0.0,0.0,0.0,0
201,2018,42302040003nyc,0.0,423020nyc,423nyc,55,96,1,1,nyc,274,0.0,0.0,0.0,0.0,0
