,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
2733,2019,321000011524nyc,14.0,321000nyc,321nyc,86,4,7,87,nyc,328,0.0,0.0,0.0,0.0,0
2734,2021,321000011524nyc,3.0,321000nyc,321nyc,87,0,4,93,nyc,284,0.66,0.4,0.66,0.52,0
2736,2017,321000011546nyc,15.0,321000nyc,321nyc,88,2,33,63,nyc,381,0.0,0.0,0.0,0.0,0
2737,2018,321000011546nyc,15.0,321000nyc,321nyc,87,2,30,65,nyc,381,0.0,0.0,0.0,0.0,0
2738,2019,321000011546nyc,9.0,321000nyc,321nyc,86,3,32,63,nyc,352,0.0,0.0,0.0,0.0,0
2739,2021,321000011546nyc,11.0,321000nyc,321nyc,90,2,34,60,nyc,313,0.66,0.4,0.66,0.52,0
2741,2017,321000011549nyc,7.0,321000nyc,321nyc,84,3,17,76,nyc,460,0.0,0.0,0.0,0.0,0
2742,2018,321000011549nyc,11.0,321000nyc,321nyc,90,2,19,74,nyc,449,0.0,0.0,0.0,0.0,0
2743,2019,321000011549nyc,9.0,321000nyc,321nyc,87,2,16,76,nyc,488,0.0,0.0,0.0,0.0,0
2744,2021,321000011549nyc,7.0,321000nyc,321nyc,93,2,17,77,nyc,461,0.66,0.4,0.66,0.52,0
2746,2017,321000011565nyc,13.0,321000nyc,321nyc,78,0,23,71,nyc,399,0.0,0.0,0.0,0.0,0
2747,2018,321000011565nyc,6.0,321000nyc,321nyc,83,0,24,71,nyc,401,0.0,0.0,0.0,0.0,0
2748,2019,321000011565nyc,9.0,321000nyc,321nyc,83,1,24,70,nyc,414,0.0,0.0,0.0,0.0,0
2749,2021,321000011565nyc,2.0,321000nyc,321nyc,88,2,21,71,nyc,406,0.66,0.4,0.66,0.52,0
2751,2017,321000011696nyc,0.0,321000nyc,321nyc,25,57,4,13,nyc,377,0.0,0.0,0.0,0.0,0
2752,2018,321000011696nyc,0.0,321000nyc,321nyc,21,59,3,11,nyc,401,0.0,0.0,0.0,0.0,0
2753,2019,321000011696nyc,0.0,321000nyc,321nyc,25,58,4,10,nyc,412,0.0,0.0,0.0,0.0,0
2754,2021,321000011696nyc,0.0,321000nyc,321nyc,30,46,7,16,nyc,385,0.66,0.4,0.66,0.52,0
2756,2017,321100011249nyc,0.0,321100nyc,321nyc,77,3,45,36,nyc,318,0.0,0.0,0.0,0.0,0
2757,2018,321100011249nyc,1.0,321100nyc,321nyc,72,4,49,33,nyc,319,0.0,0.0,0.0,0.0,0
2758,2019,321100011249nyc,0.0,321100nyc,321nyc,72,4,55,33,nyc,297,0.0,0.0,0.0,0.0,0
2759,2021,321100011249nyc,0.0,321100nyc,321nyc,82,3,50,35,nyc,338,0.66,0.4,0.66,0.52,0
2761,2017,321100011253nyc,11.0,321100nyc,321nyc,61,3,45,47,nyc,303,0.0,0.0,0.0,0.0,0
2762,2018,321100011253nyc,18.0,321100nyc,321nyc,73,3,48,42,nyc,326,0.0,0.0,0.0,0.0,0
2763,2019,321100011253nyc,10.0,321100nyc,321nyc,75,3,49,43,nyc,317,0.0,0.0,0.0,0.0,0
2764,2021,321100011253nyc,15.0,321100nyc,321nyc,79,4,42,50,nyc,256,0.66,0.4,0.66,0.52,0
2766,2017,321100011265nyc,16.0,321100nyc,321nyc,67,3,42,51,nyc,406,0.0,0.0,0.0,0.0,0
2767,2018,321100011265nyc,16.0,321100nyc,321nyc,85,3,34,59,nyc,388,0.0,0.0,0.0,0.0,0
2768,2019,321100011265nyc,10.0,321100nyc,321nyc,86,3,35,57,nyc,361,0.0,0.0,0.0,0.0,0
2769,2021,321100011265nyc,10.0,321100nyc,321nyc,87,4,38,55,nyc,305,0.66,0.4,0.66,0.52,0
2771,2017,321100011270nyc,13.0,321100nyc,321nyc,79,2,62,30,nyc,371,0.0,0.0,0.0,0.0,0
2772,2018,321100011270nyc,13.0,321100nyc,321nyc,81,2,61,32,nyc,377,0.0,0.0,0.0,0.0,0
2773,2019,321100011270nyc,17.0,321100nyc,321nyc,77,2,64,31,nyc,365,0.0,0.0,0.0,0.0,0
2774,2021,321100011270nyc,16.0,321100nyc,321nyc,85,3,64,30,nyc,361,0.66,0.4,0.66,0.52,0
2776,2017,321100011275nyc,4.0,321100nyc,321nyc,67,2,34,55,nyc,523,0.0,0.0,0.0,0.0,0
2777,2018,321100011275nyc,7.0,321100nyc,321nyc,79,2,36,54,nyc,545,0.0,0.0,0.0,0.0,0
2778,2019,321100011275nyc,6.0,321100nyc,321nyc,77,1,35,54,nyc,537,0.0,0.0,0.0,0.0,0
2779,2021,321100011275nyc,9.0,321100nyc,321nyc,77,3,37,49,nyc,490,0.66,0.4,0.66,0.52,0
2781,2017,321100011288nyc,6.0,321100nyc,321nyc,69,10,33,43,nyc,624,0.0,0.0,0.0,0.0,0
2782,2018,321100011288nyc,8.0,321100nyc,321nyc,71,10,34,40,nyc,606,0.0,0.0,0.0,0.0,0
2783,2019,321100011288nyc,6.0,321100nyc,321nyc,73,12,34,41,nyc,608,0.0,0.0,0.0,0.0,0
2784,2021,321100011288nyc,7.0,321100nyc,321nyc,82,15,31,39,nyc,584,0.66,0.4,0.66,0.52,0
2786,2017,321100011290nyc,8.0,321100nyc,321nyc,70,2,37,54,nyc,411,0.0,0.0,0.0,0.0,0
2787,2018,321100011290nyc,18.0,321100nyc,321nyc,83,2,38,54,nyc,391,0.0,0.0,0.0,0.0,0
2788,2019,321100011290nyc,6.0,321100nyc,321nyc,81,1,42,52,nyc,361,0.0,0.0,0.0,0.0,0
2789,2021,321100011290nyc,5.0,321100nyc,321nyc,86,3,41,51,nyc,383,0.66,0.4,0.66,0.52,0
2791,2017,321100011299nyc,6.0,321100nyc,321nyc,82,12,32,48,nyc,479,0.0,0.0,0.0,0.0,0
2792,2018,321100011299nyc,5.0,321100nyc,321nyc,75,10,30,50,nyc,463,0.0,0.0,0.0,0.0,0
2793,2019,321100011299nyc,4.0,321100nyc,321nyc,77,12,28,49,nyc,501,0.0,0.0,0.0,0.0,0
2794,2021,321100011299nyc,11.0,321100nyc,321nyc,87,14,26,49,nyc,484,0.66,0.4,0.66,0.52,0
2796,2017,321100011418nyc,12.0,321100nyc,321nyc,76,10,30,57,nyc,464,0.0,0.0,0.0,0.0,0
2797,2018,321100011418nyc,17.0,321100nyc,321nyc,83,10,25,61,nyc,436,0.0,0.0,0.0,0.0,0
2798,2019,321100011418nyc,16.0,321100nyc,321nyc,79,10,27,59,nyc,471,0.0,0.0,0.0,0.0,0
2799,2021,321100011418nyc,11.0,321100nyc,321nyc,89,10,22,64,nyc,473,0.66,0.4,0.66,0.52,0
2801,2017,321100011455nyc,15.0,321100nyc,321nyc,69,3,51,42,nyc,1945,0.0,0.0,0.0,0.0,0
2802,2018,321100011455nyc,12.0,321100nyc,321nyc,74,3,51,41,nyc,1934,0.0,0.0,0.0,0.0,0
2803,2019,321100011455nyc,16.0,321100nyc,321nyc,73,3,50,42,nyc,2030,0.0,0.0,0.0,0.0,0
2804,2021,321100011455nyc,10.0,321100nyc,321nyc,80,3,47,44,nyc,2180,0.66,0.4,0.66,0.52,0
2806,2017,321100011508nyc,8.0,321100nyc,321nyc,79,7,31,57,nyc,437,0.0,0.0,0.0,0.0,0
2807,2018,321100011508nyc,8.0,321100nyc,321nyc,86,7,28,59,nyc,450,0.0,0.0,0.0,0.0,0
2808,2019,321100011508nyc,8.0,321100nyc,321nyc,80,8,28,57,nyc,458,0.0,0.0,0.0,0.0,0
2809,2021,321100011508nyc,1.0,321100nyc,321nyc,91,9,30,55,nyc,455,0.66,0.4,0.66,0.52,0
2811,2017,321100011509nyc,10.0,321100nyc,321nyc,98,15,9,57,nyc,343,0.0,0.0,0.0,0.0,0
2812,2018,321100011509nyc,17.0,321100nyc,321nyc,99,18,7,57,nyc,362,0.0,0.0,0.0,0.0,0
2813,2019,321100011509nyc,11.0,321100nyc,321nyc,99,19,6,53,nyc,368,0.0,0.0,0.0,0.0,0
2814,2021,321100011509nyc,2.0,321100nyc,321nyc,87,18,9,55,nyc,360,0.66,0.4,0.66,0.52,0
2816,2017,321100011513nyc,4.0,321100nyc,321nyc,94,8,13,64,nyc,386,0.0,0.0,0.0,0.0,0
2817,2018,321100011513nyc,3.0,321100nyc,321nyc,97,10,12,65,nyc,393,0.0,0.0,0.0,0.0,0
2818,2019,321100011513nyc,4.0,321100nyc,321nyc,96,11,12,67,nyc,385,0.0,0.0,0.0,0.0,0
2819,2021,321100011513nyc,8.0,321100nyc,321nyc,93,9,12,68,nyc,363,0.66,0.4,0.66,0.52,0
2821,2017,321100011514nyc,14.0,321100nyc,321nyc,72,2,67,26,nyc,391,0.0,0.0,0.0,0.0,0
2822,2018,321100011514nyc,16.0,321100nyc,321nyc,72,3,65,27,nyc,392,0.0,0.0,0.0,0.0,0
2823,2019,321100011514nyc,18.0,321100nyc,321nyc,73,4,63,26,nyc,362,0.0,0.0,0.0,0.0,0
2824,2021,321100011514nyc,7.0,321100nyc,321nyc,81,4,54,35,nyc,357,0.66,0.4,0.66,0.52,0
2826,2017,321100011542nyc,4.0,321100nyc,321nyc,73,10,30,51,nyc,498,0.0,0.0,0.0,0.0,0
2827,2018,321100011542nyc,4.0,321100nyc,321nyc,73,10,28,53,nyc,494,0.0,0.0,0.0,0.0,0
2828,2019,321100011542nyc,9.0,321100nyc,321nyc,74,10,25,55,nyc,514,0.0,0.0,0.0,0.0,0
2829,2021,321100011542nyc,5.0,321100nyc,321nyc,80,7,28,54,nyc,503,0.66,0.4,0.66,0.52,0
2831,2017,321100011544nyc,9.0,321100nyc,321nyc,67,1,34,61,nyc,447,0.0,0.0,0.0,0.0,0
2832,2018,321100011544nyc,7.0,321100nyc,321nyc,78,2,38,56,nyc,439,0.0,0.0,0.0,0.0,0
2833,2019,321100011544nyc,13.0,321100nyc,321nyc,81,3,40,54,nyc,386,0.0,0.0,0.0,0.0,0
2834,2021,321100011544nyc,10.0,321100nyc,321nyc,86,3,40,54,nyc,325,0.66,0.4,0.66,0.52,0
2836,2017,321100011545nyc,14.0,321100nyc,321nyc,63,3,36,56,nyc,349,0.0,0.0,0.0,0.0,0
2837,2018,321100011545nyc,25.0,321100nyc,321nyc,78,3,41,47,nyc,333,0.0,0.0,0.0,0.0,0
2838,2019,321100011545nyc,16.0,321100nyc,321nyc,81,2,39,50,nyc,306,0.0,0.0,0.0,0.0,0
2839,2021,321100011545nyc,16.0,321100nyc,321nyc,87,2,33,57,nyc,201,0.66,0.4,0.66,0.52,0
2841,2017,321200010242nyc,2.0,321200nyc,321nyc,87,1,17,77,nyc,366,0.0,0.0,0.0,0.0,0
2842,2018,321200010242nyc,3.0,321200nyc,321nyc,87,1,17,78,nyc,385,0.0,0.0,0.0,0.0,0
2843,2019,321200010242nyc,6.0,321200nyc,321nyc,89,0,17,77,nyc,364,0.0,0.0,0.0,0.0,0
2844,2021,321200010242nyc,2.0,321200nyc,321nyc,91,1,15,79,nyc,374,0.66,0.4,0.66,0.52,0
2846,2017,321200011248nyc,12.0,321200nyc,321nyc,83,1,25,72,nyc,404,0.0,0.0,0.0,0.0,0
2847,2018,321200011248nyc,16.0,321200nyc,321nyc,97,1,24,73,nyc,391,0.0,0.0,0.0,0.0,0
2848,2019,321200011248nyc,25.0,321200nyc,321nyc,94,2,24,71,nyc,349,0.0,0.0,0.0,0.0,0
2849,2021,321200011248nyc,27.0,321200nyc,321nyc,96,3,21,75,nyc,158,0.66,0.4,0.66,0.52,0
2851,2017,321200011251nyc,15.0,321200nyc,321nyc,94,1,25,72,nyc,339,0.0,0.0,0.0,0.0,0
2852,2018,321200011251nyc,8.0,321200nyc,321nyc,94,1,28,69,nyc,343,0.0,0.0,0.0,0.0,0
2853,2019,321200011251nyc,18.0,321200nyc,321nyc,88,1,28,68,nyc,331,0.0,0.0,0.0,0.0,0
2854,2021,321200011251nyc,11.0,321200nyc,321nyc,89,0,27,70,nyc,314,0.66,0.4,0.66,0.52,0
2856,2017,321200011267nyc,1.0,321200nyc,321nyc,96,1,20,78,nyc,330,0.0,0.0,0.0,0.0,0
2857,2018,321200011267nyc,1.0,321200nyc,321nyc,95,1,19,78,nyc,342,0.0,0.0,0.0,0.0,0
2858,2019,321200011267nyc,2.0,321200nyc,321nyc,95,2,19,78,nyc,341,0.0,0.0,0.0,0.0,0
2859,2021,321200011267nyc,5.0,321200nyc,321nyc,95,1,19,77,nyc,319,0.66,0.4,0.66,0.52,0
2861,2017,321200011271nyc,6.0,321200nyc,321nyc,89,0,27,70,nyc,387,0.0,0.0,0.0,0.0,0
2862,2018,321200011271nyc,5.0,321200nyc,321nyc,93,1,26,70,nyc,394,0.0,0.0,0.0,0.0,0
2863,2019,321200011271nyc,11.0,321200nyc,321nyc,95,1,25,69,nyc,384,0.0,0.0,0.0,0.0,0
2864,2021,321200011271nyc,10.0,321200nyc,321nyc,92,0,24,69,nyc,400,0.66,0.4,0.66,0.52,0
2866,2017,321200011388nyc,8.0,321200nyc,321nyc,97,0,0,100,nyc,430,0.0,0.0,0.0,0.0,0
2867,2018,321200011388nyc,15.0,321200nyc,321nyc,100,0,0,100,nyc,471,0.0,0.0,0.0,0.0,0
2868,2019,321200011388nyc,9.0,321200nyc,321nyc,99,0,0,99,nyc,435,0.0,0.0,0.0,0.0,0
2869,2021,321200011388nyc,10.0,321200nyc,321nyc,96,0,0,99,nyc,370,0.66,0.4,0.66,0.52,0
2871,2017,321200011446nyc,17.0,321200nyc,321nyc,78,3,46,50,nyc,118,0.0,0.0,0.0,0.0,0
2872,2018,321200011446nyc,25.0,321200nyc,321nyc,88,2,40,57,nyc,177,0.0,0.0,0.0,0.0,0
2873,2019,321200011446nyc,20.0,321200nyc,321nyc,87,4,36,59,nyc,177,0.0,0.0,0.0,0.0,0
2874,2021,321200011446nyc,7.0,321200nyc,321nyc,83,1,32,65,nyc,139,0.66,0.4,0.66,0.52,0
2876,2017,321200011478nyc,0.0,321200nyc,321nyc,84,3,21,72,nyc,307,0.0,0.0,0.0,0.0,0
2877,2018,321200011478nyc,1.0,321200nyc,321nyc,87,3,22,72,nyc,290,0.0,0.0,0.0,0.0,0
2878,2019,321200011478nyc,0.0,321200nyc,321nyc,78,3,16,73,nyc,316,0.0,0.0,0.0,0.0,0
2879,2021,321200011478nyc,1.0,321200nyc,321nyc,84,2,17,76,nyc,362,0.66,0.4,0.66,0.52,0
2881,2017,321200011479nyc,23.0,321200nyc,321nyc,90,2,40,56,nyc,284,0.0,0.0,0.0,0.0,0
2882,2018,321200011479nyc,23.0,321200nyc,321nyc,91,1,39,56,nyc,236,0.0,0.0,0.0,0.0,0
2883,2019,321200011479nyc,20.0,321200nyc,321nyc,87,0,35,60,nyc,266,0.0,0.0,0.0,0.0,0
2884,2021,321200011479nyc,12.0,321200nyc,321nyc,93,0,33,63,nyc,255,0.66,0.4,0.66,0.52,0
2886,2017,321200011480nyc,29.0,321200nyc,321nyc,79,2,35,62,nyc,185,0.0,0.0,0.0,0.0,0
2887,2018,321200011480nyc,15.0,321200nyc,321nyc,86,3,37,60,nyc,200,0.0,0.0,0.0,0.0,0
2888,2019,321200011480nyc,21.0,321200nyc,321nyc,92,3,34,59,nyc,157,0.0,0.0,0.0,0.0,0
2889,2021,321200011480nyc,11.0,321200nyc,321nyc,88,0,40,58,nyc,114,0.46,0.0,0.46,0.92,0
2891,2017,321200011511nyc,22.0,321200nyc,321nyc,86,2,34,60,nyc,382,0.0,0.0,0.0,0.0,0
2892,2018,321200011511nyc,14.0,321200nyc,321nyc,91,3,33,60,nyc,418,0.0,0.0,0.0,0.0,0
2893,2019,321200011511nyc,10.0,321200nyc,321nyc,89,1,33,61,nyc,418,0.0,0.0,0.0,0.0,0
2894,2021,321200011511nyc,6.0,321200nyc,321nyc,92,2,32,64,nyc,384,0.66,0.4,0.66,0.52,0
2896,2017,321200011521nyc,15.0,321200nyc,321nyc,97,2,25,68,nyc,410,0.0,0.0,0.0,0.0,0
2897,2018,321200011521nyc,14.0,321200nyc,321nyc,97,2,23,71,nyc,424,0.0,0.0,0.0,0.0,0
2898,2019,321200011521nyc,16.0,321200nyc,321nyc,91,2,23,72,nyc,426,0.0,0.0,0.0,0.0,0
2899,2021,321200011521nyc,12.0,321200nyc,321nyc,91,2,21,75,nyc,445,0.66,0.4,0.66,0.52,0
2901,2017,321200011550nyc,18.0,321200nyc,321nyc,97,3,7,78,nyc,415,0.0,0.0,0.0,0.0,0
2902,2018,321200011550nyc,21.0,321200nyc,321nyc,98,5,7,77,nyc,428,0.0,0.0,0.0,0.0,0
2903,2019,321200011550nyc,17.0,321200nyc,321nyc,98,5,9,76,nyc,456,0.0,0.0,0.0,0.0,0
2904,2021,321200011550nyc,7.0,321200nyc,321nyc,99,5,10,78,nyc,295,0.66,0.4,0.66,0.52,0
2906,2017,321200011682nyc,17.0,321200nyc,321nyc,72,0,28,70,nyc,477,0.0,0.0,0.0,0.0,0
2907,2018,321200011682nyc,20.0,321200nyc,321nyc,85,0,29,68,nyc,456,0.0,0.0,0.0,0.0,0
2908,2019,321200011682nyc,13.0,321200nyc,321nyc,84,1,29,67,nyc,472,0.0,0.0,0.0,0.0,0
2909,2021,321200011682nyc,4.0,321200nyc,321nyc,89,3,27,68,nyc,479,0.66,0.4,0.66,0.52,0
2911,2017,321200011684nyc,21.0,321200nyc,321nyc,83,1,58,38,nyc,466,0.0,0.0,0.0,0.0,0
2912,2018,321200011684nyc,20.0,321200nyc,321nyc,88,1,55,41,nyc,489,0.0,0.0,0.0,0.0,0
2913,2019,321200011684nyc,18.0,321200nyc,321nyc,89,1,57,39,nyc,456,0.0,0.0,0.0,0.0,0
2914,2021,321200011684nyc,14.0,321200nyc,321nyc,90,2,51,43,nyc,336,0.66,0.4,0.66,0.52,0
2916,2017,331300010265nyc,3.0,331300nyc,331nyc,84,1,69,26,nyc,270,0.0,0.0,0.0,0.0,0
2917,2018,331300010265nyc,2.0,331300nyc,331nyc,92,1,69,25,nyc,263,0.0,0.0,0.0,0.0,0
2918,2019,331300010265nyc,2.0,331300nyc,331nyc,90,1,70,25,nyc,228,0.0,0.0,0.0,0.0,0
2919,2021,331300010265nyc,0.0,331300nyc,331nyc,87,2,69,26,nyc,223,0.66,0.4,0.66,0.52,0
2921,2017,331300011350nyc,2.0,331300nyc,331nyc,87,1,78,19,nyc,268,0.0,0.0,0.0,0.0,0
2922,2018,331300011350nyc,0.0,331300nyc,331nyc,88,2,77,19,nyc,213,0.0,0.0,0.0,0.0,0
2923,2019,331300011350nyc,6.0,331300nyc,331nyc,88,1,74,23,nyc,210,0.0,0.0,0.0,0.0,0
2924,2021,331300011350nyc,13.0,331300nyc,331nyc,87,2,71,26,nyc,175,0.66,0.4,0.66,0.52,0
2926,2017,331300011412nyc,13.0,331300nyc,331nyc,84,0,74,22,nyc,403,0.0,0.0,0.0,0.0,0
2927,2018,331300011412nyc,16.0,331300nyc,331nyc,89,0,72,25,nyc,428,0.0,0.0,0.0,0.0,0
2928,2019,331300011412nyc,10.0,331300nyc,331nyc,88,1,69,28,nyc,424,0.0,0.0,0.0,0.0,0
2929,2021,331300011412nyc,5.0,331300nyc,331nyc,85,2,68,26,nyc,556,0.66,0.4,0.66,0.52,0
2931,2017,331300011419nyc,6.0,331300nyc,331nyc,82,3,71,17,nyc,536,0.0,0.0,0.0,0.0,0
2932,2018,331300011419nyc,4.0,331300nyc,331nyc,83,3,69,17,nyc,557,0.0,0.0,0.0,0.0,0
2933,2019,331300011419nyc,3.0,331300nyc,331nyc,82,4,67,18,nyc,573,0.0,0.0,0.0,0.0,0
2934,2021,331300011419nyc,1.0,331300nyc,331nyc,88,3,65,18,nyc,577,0.66,0.4,0.66,0.52,0
2936,2017,331300011430nyc,0.0,331300nyc,331nyc,61,22,7,7,nyc,5664,0.0,0.0,0.0,0.0,0
2937,2018,331300011430nyc,0.0,331300nyc,331nyc,63,23,6,7,nyc,5837,0.0,0.0,0.0,0.0,0
2938,2019,331300011430nyc,0.0,331300nyc,331nyc,60,25,6,7,nyc,5942,0.0,0.0,0.0,0.0,0
2939,2021,331300011430nyc,0.0,331300nyc,331nyc,61,24,6,7,nyc,5943,0.66,0.4,0.66,0.52,0
2941,2017,331300011439nyc,6.0,331300nyc,331nyc,46,15,21,37,nyc,352,0.0,0.0,0.0,0.0,0
2942,2018,331300011439nyc,16.0,331300nyc,331nyc,81,13,21,39,nyc,355,0.0,0.0,0.0,0.0,0
2943,2019,331300011439nyc,10.0,331300nyc,331nyc,84,11,20,44,nyc,349,0.0,0.0,0.0,0.0,0
2944,2021,331300011439nyc,5.0,331300nyc,331nyc,94,6,18,53,nyc,337,0.66,0.4,0.66,0.52,0
2946,2017,331300011483nyc,5.0,331300nyc,331nyc,77,2,68,24,nyc,456,0.0,0.0,0.0,0.0,0
2947,2018,331300011483nyc,5.0,331300nyc,331nyc,78,2,67,25,nyc,449,0.0,0.0,0.0,0.0,0
2948,2019,331300011483nyc,2.0,331300nyc,331nyc,70,2,67,27,nyc,439,0.0,0.0,0.0,0.0,0
2949,2021,331300011483nyc,2.0,331300nyc,331nyc,83,2,63,29,nyc,460,0.66,0.4,0.66,0.52,0
2951,2017,331300011527nyc,7.0,331300nyc,331nyc,83,9,72,12,nyc,314,0.0,0.0,0.0,0.0,0
2952,2018,331300011527nyc,4.0,331300nyc,331nyc,85,11,65,14,nyc,300,0.0,0.0,0.0,0.0,0
2953,2019,331300011527nyc,1.0,331300nyc,331nyc,84,11,62,15,nyc,297,0.0,0.0,0.0,0.0,0
2954,2021,331300011527nyc,2.0,331300nyc,331nyc,84,11,58,18,nyc,321,0.66,0.4,0.66,0.52,0
2956,2017,331300011553nyc,13.0,331300nyc,331nyc,88,0,74,20,nyc,106,0.0,0.0,0.0,0.0,0
2957,2018,331300011553nyc,10.0,331300nyc,331nyc,85,0,74,23,nyc,137,0.0,0.0,0.0,0.0,0
2958,2019,331300011553nyc,31.0,331300nyc,331nyc,85,0,84,16,nyc,198,0.0,0.0,0.0,0.0,0
2959,2021,331300011553nyc,4.0,331300nyc,331nyc,84,2,79,18,nyc,130,0.66,0.4,0.66,0.52,0
2961,2017,331300011595nyc,0.0,331300nyc,331nyc,75,2,79,10,nyc,364,0.0,0.0,0.0,0.0,0
2962,2018,331300011595nyc,1.0,331300nyc,331nyc,74,3,77,11,nyc,368,0.0,0.0,0.0,0.0,0
2963,2019,331300011595nyc,0.0,331300nyc,331nyc,90,3,78,9,nyc,361,0.0,0.0,0.0,0.0,0
2964,2021,331300011595nyc,0.0,331300nyc,331nyc,74,4,78,10,nyc,393,0.66,0.4,0.66,0.52,0
2966,2017,331300011605nyc,8.0,331300nyc,331nyc,77,2,71,21,nyc,684,0.0,0.0,0.0,0.0,0
2967,2018,331300011605nyc,8.0,331300nyc,331nyc,81,2,70,21,nyc,746,0.0,0.0,0.0,0.0,0
2968,2019,331300011605nyc,2.0,331300nyc,331nyc,78,2,68,24,nyc,790,0.0,0.0,0.0,0.0,0
2969,2021,331300011605nyc,1.0,331300nyc,331nyc,87,1,67,26,nyc,725,0.66,0.4,0.66,0.52,0
2971,2017,331300011616nyc,22.0,331300nyc,331nyc,89,1,70,28,nyc,148,0.0,0.0,0.0,0.0,0
2972,2018,331300011616nyc,16.0,331300nyc,331nyc,83,1,66,31,nyc,175,0.0,0.0,0.0,0.0,0
2973,2019,331300011616nyc,13.0,331300nyc,331nyc,84,1,71,26,nyc,170,0.0,0.0,0.0,0.0,0
2974,2021,331300011616nyc,2.0,331300nyc,331nyc,85,3,65,26,nyc,117,0.66,0.4,0.66,0.52,0
2976,2017,331300011670nyc,1.0,331300nyc,331nyc,70,1,84,10,nyc,869,0.0,0.0,0.0,0.0,0
2977,2018,331300011670nyc,1.0,331300nyc,331nyc,70,1,81,11,nyc,844,0.0,0.0,0.0,0.0,0
2978,2019,331300011670nyc,1.0,331300nyc,331nyc,74,1,80,11,nyc,816,0.0,0.0,0.0,0.0,0
2979,2021,331300011670nyc,3.0,331300nyc,331nyc,71,1,77,14,nyc,877,0.66,0.4,0.66,0.52,0
2981,2017,331300011674nyc,1.0,331300nyc,331nyc,76,3,71,18,nyc,432,0.0,0.0,0.0,0.0,0
2982,2018,331300011674nyc,3.0,331300nyc,331nyc,78,3,70,19,nyc,439,0.0,0.0,0.0,0.0,0
2983,2019,331300011674nyc,5.0,331300nyc,331nyc,76,6,66,21,nyc,430,0.0,0.0,0.0,0.0,0
2984,2021,331300011674nyc,0.0,331300nyc,331nyc,75,5,61,25,nyc,465,0.66,0.4,0.66,0.52,0
2986,2017,331400011071nyc,10.0,331400nyc,331nyc,74,6,17,75,nyc,354,0.0,0.0,0.0,0.0,0
2987,2018,331400011071nyc,12.0,331400nyc,331nyc,88,5,18,75,nyc,311,0.0,0.0,0.0,0.0,0
2988,2019,331400011071nyc,14.0,331400nyc,331nyc,87,6,20,72,nyc,300,0.0,0.0,0.0,0.0,0
2989,2021,331400011071nyc,13.0,331400nyc,331nyc,88,6,25,67,nyc,296,0.66,0.4,0.66,0.52,0
2991,2017,331400011449nyc,0.0,331400nyc,331nyc,58,14,15,13,nyc,725,0.0,0.0,0.0,0.0,0
2992,2018,331400011449nyc,1.0,331400nyc,331nyc,63,14,13,11,nyc,681,0.0,0.0,0.0,0.0,0
2993,2019,331400011449nyc,0.0,331400nyc,331nyc,61,13,12,12,nyc,701,0.0,0.0,0.0,0.0,0
2994,2021,331400011449nyc,1.0,331400nyc,331nyc,67,13,13,11,nyc,809,0.66,0.4,0.66,0.52,0
2996,2017,331400011454nyc,21.0,331400nyc,331nyc,82,2,31,65,nyc,240,0.0,0.0,0.0,0.0,0
2997,2018,331400011454nyc,5.0,331400nyc,331nyc,80,3,27,67,nyc,269,0.0,0.0,0.0,0.0,0
2998,2019,331400011454nyc,14.0,331400nyc,331nyc,79,5,23,67,nyc,304,0.0,0.0,0.0,0.0,0
2999,2021,331400011454nyc,4.0,331400nyc,331nyc,86,4,24,66,nyc,383,0.66,0.4,0.66,0.52,0
3001,2017,331400011474nyc,12.0,331400nyc,331nyc,83,1,37,60,nyc,866,0.0,0.0,0.0,0.0,0
3002,2018,331400011474nyc,9.0,331400nyc,331nyc,89,2,33,64,nyc,751,0.0,0.0,0.0,0.0,0
3003,2019,331400011474nyc,8.0,331400nyc,331nyc,85,1,27,69,nyc,667,0.0,0.0,0.0,0.0,0
3004,2021,331400011474nyc,11.0,331400nyc,331nyc,87,2,26,69,nyc,525,0.66,0.4,0.66,0.52,0
3006,2017,331400011477nyc,12.0,331400nyc,331nyc,88,1,43,53,nyc,417,0.0,0.0,0.0,0.0,0
3007,2018,331400011477nyc,15.0,331400nyc,331nyc,94,2,40,56,nyc,322,0.0,0.0,0.0,0.0,0
3008,2019,331400011477nyc,7.0,331400nyc,331nyc,91,1,35,61,nyc,298,0.0,0.0,0.0,0.0,0
3009,2021,331400011477nyc,12.0,331400nyc,331nyc,95,3,29,64,nyc,316,0.66,0.4,0.66,0.52,0
3011,2017,331400011478nyc,7.0,331400nyc,331nyc,74,2,34,58,nyc,920,0.0,0.0,0.0,0.0,0
3012,2018,331400011478nyc,8.0,331400nyc,331nyc,81,2,31,60,nyc,869,0.0,0.0,0.0,0.0,0
3013,2019,331400011478nyc,9.0,331400nyc,331nyc,87,2,30,62,nyc,834,0.0,0.0,0.0,0.0,0
3014,2021,331400011478nyc,7.0,331400nyc,331nyc,91,3,27,60,nyc,691,0.66,0.4,0.66,0.52,0
3016,2017,331400011488nyc,3.0,331400nyc,331nyc,83,2,50,45,nyc,529,0.0,0.0,0.0,0.0,0
3017,2018,331400011488nyc,2.0,331400nyc,331nyc,88,2,45,49,nyc,511,0.0,0.0,0.0,0.0,0
