,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
133,121901040002,12190104nyc,12nyc,2021,0.0,100,0.44,0.04,0.8,5,20.0,100.0,0.0,0.0,nyc
134,130200010005,13020001nyc,13nyc,2017,0.0,83,0.0,0.0,0.0,199,52.2613,41.7085,24.1206,26.1307,nyc
135,130200010005,13020001nyc,13nyc,2018,0.0,78,0.0,0.0,0.0,236,46.1864,41.5254,23.7288,30.0847,nyc
136,130200010005,13020001nyc,13nyc,2019,0.0,84,0.0,0.0,0.0,258,45.7364,39.9225,24.031,30.2326,nyc
137,130200010005,13020001nyc,13nyc,2021,0.0,100,0.48,0.0,0.96,8,25.0,37.5,37.5,12.5,nyc
138,130502020003,13050202nyc,13nyc,2017,0.0,90,0.0,0.0,0.0,113,49.5575,71.6814,10.6195,15.9292,nyc
139,130502020003,13050202nyc,13nyc,2018,0.0,78,0.0,0.0,0.0,93,50.5376,72.043,8.6022,13.9785,nyc
140,130502020003,13050202nyc,13nyc,2019,0.0,84,0.0,0.0,0.0,117,52.9915,68.3761,5.1282,23.0769,nyc
141,130502020003,13050202nyc,13nyc,2021,0.0,88,0.32,0.08,0.48,8,75.0,25.0,0.0,75.0,nyc
142,130801060007,13080106nyc,13nyc,2017,0.0,90,0.0,0.0,0.0,318,40.8805,69.1824,13.8365,12.8931,nyc
143,130801060007,13080106nyc,13nyc,2018,0.0,91,0.0,0.0,0.0,338,45.858,67.7515,12.1302,14.2012,nyc
144,130801060007,13080106nyc,13nyc,2019,0.0,87,0.0,0.0,0.0,285,49.1228,61.7544,17.5439,14.386,nyc
145,130801060007,13080106nyc,13nyc,2021,0.0,83,0.48,0.0,0.96,6,50.0,100.0,0.0,0.0,nyc
149,131201040002,13120104nyc,13nyc,2017,0.0,94,0.0,0.0,0.0,97,14.433,80.4124,1.0309,15.4639,nyc
150,131201040002,13120104nyc,13nyc,2018,0.0,94,0.0,0.0,0.0,89,16.8539,78.6517,1.1236,13.4831,nyc
151,131201040002,13120104nyc,13nyc,2019,0.0,99,0.0,0.0,0.0,96,19.7917,82.2917,1.0417,9.375,nyc
152,131201040002,13120104nyc,13nyc,2021,0.0,93,0.28,0.0,0.56,58,20.6897,75.8621,1.7241,18.9655,nyc
153,131301040002,13130104nyc,13nyc,2017,0.0,87,0.0,0.0,0.0,87,37.931,87.3563,0.0,11.4943,nyc
