,schoolcode,districtcode,countycode,year,charter,mathpass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
148,140600010128,1newyork,28newyork,2017,0.0,82.0,0.0,0.0,0.0,131,68.7023,32.0611,26.7176,18.3206,newyork
149,140600010132,1newyork,32newyork,2017,0.0,41.0,0.0,0.0,0.0,194,76.2887,5.6701,79.8969,7.2165,newyork
150,140600010104,1newyork,04newyork,2017,0.0,55.0,0.0,0.0,0.0,185,85.4054,11.3514,66.4865,17.8378,newyork
151,140600010105,1newyork,05newyork,2017,0.0,87.0,0.0,0.0,0.0,482,68.6722,29.668,37.3444,17.8423,newyork
152,140600010133,1newyork,33newyork,2017,0.0,36.0,0.0,0.0,0.0,75,86.6667,8.0,76.0,13.3333,newyork
153,140600010135,1newyork,35newyork,2017,0.0,65.0,0.0,0.0,0.0,89,77.5281,11.236,66.2921,14.6067,newyork
154,140600010308,1newyork,08newyork,2017,0.0,54.0,0.0,0.0,0.0,246,84.9593,11.3821,49.5935,16.2602,newyork
159,140701060006,6newyork,06newyork,2017,0.0,75.0,0.0,0.0,0.0,194,63.9175,41.7526,40.2062,6.1856,newyork
160,140702030006,3newyork,06newyork,2017,0.0,93.0,0.0,0.0,0.0,162,48.7654,75.3086,9.8765,4.321,newyork
161,140703020003,2newyork,03newyork,2017,0.0,83.0,0.0,0.0,0.0,98,70.4082,48.9796,39.7959,5.102,newyork
162,140707030003,3newyork,03newyork,2017,0.0,85.0,0.0,0.0,0.0,139,47.482,87.0504,4.3165,4.3165,newyork
163,140709030004,3newyork,04newyork,2017,0.0,74.0,0.0,0.0,0.0,116,60.3448,82.7586,5.1724,9.4828,newyork
164,140801060006,6newyork,06newyork,2017,0.0,95.0,0.0,0.0,0.0,253,10.2767,93.2806,1.581,2.3715,newyork
165,141101060001,6newyork,01newyork,2017,0.0,88.0,0.0,0.0,0.0,141,32.6241,94.3262,0.0,2.8369,newyork
166,141201060001,6newyork,01newyork,2017,0.0,88.0,0.0,0.0,0.0,144,25.0,97.2222,0.6944,1.3889,newyork
167,141301060006,6newyork,06newyork,2017,0.0,92.0,0.0,0.0,0.0,144,22.2222,95.8333,0.6944,1.3889,newyork
168,141401060003,6newyork,03newyork,2017,0.0,87.0,0.0,0.0,0.0,202,53.4653,79.703,0.9901,4.4554,newyork
169,141501060004,6newyork,04newyork,2017,0.0,91.0,0.0,0.0,0.0,260,21.5385,88.0769,3.0769,4.6154,newyork
170,141601060007,6newyork,07newyork,2017,0.0,97.0,0.0,0.0,0.0,237,28.27,95.3586,1.2658,1.6878,newyork
