,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
3907,057905037tx,2016,0.0,67.74,0.0,0.0,0,31,74.19,6.4516,32.2581,61.2903,0.0,tx,057tx,057905tx
3908,057905037tx,2017,0.0,72.22,0.0,0.0,0,18,66.67,0.0,22.2222,77.7778,0.0,tx,057tx,057905tx
3909,057905037tx,2018,0.0,88.89,0.0,0.0,0,27,70.37,3.7037,25.9259,70.3704,0.0,tx,057tx,057905tx
3910,057905037tx,2019,0.0,95.83,0.0,0.0,0,24,54.17,0.0,12.5,87.5,0.0,tx,057tx,057905tx
3911,057905037tx,2021,0.0,20.0,0.0,0.0,0,15,33.33,6.6667,33.3333,60.0,0.0,tx,057tx,057905tx
3912,057905038tx,2015,0.0,62.86,0.0,0.0,0,35,62.86,8.5714,25.7143,65.7143,0.0,tx,057tx,057905tx
3913,057905038tx,2016,0.0,62.07,0.0,0.0,0,29,75.86,0.0,17.2414,82.7586,0.0,tx,057tx,057905tx
3914,057905038tx,2017,0.0,68.18,0.0,0.0,0,22,72.73,4.5455,45.4545,50.0,0.0,tx,057tx,057905tx
3915,057905038tx,2018,0.0,93.94,0.0,0.0,0,33,81.82,3.0303,6.0606,87.8788,0.0,tx,057tx,057905tx
3916,057905038tx,2019,0.0,96.43,0.0,0.0,0,28,35.71,0.0,28.5714,71.4286,0.0,tx,057tx,057905tx
3917,057905038tx,2021,0.0,45.45,0.0,0.0,0,22,63.64,0.0,13.6364,81.8182,0.0,tx,057tx,057905tx
3918,057905042tx,2015,0.0,70.37,0.0,0.0,0,27,77.78,7.4074,40.7407,51.8519,0.0,tx,057tx,057905tx
3919,057905042tx,2016,0.0,75.0,0.0,0.0,0,28,82.14,3.5714,46.4286,50.0,0.0,tx,057tx,057905tx
3920,057905042tx,2017,0.0,78.57,0.0,0.0,0,14,92.86,0.0,64.2857,35.7143,0.0,tx,057tx,057905tx
3921,057905042tx,2018,0.0,64.71,0.0,0.0,0,17,88.24,0.0,52.9412,47.0588,0.0,tx,057tx,057905tx
3922,057905042tx,2019,0.0,84.21,0.0,0.0,0,19,36.84,0.0,68.4211,31.5789,0.0,tx,057tx,057905tx
3923,057905042tx,2021,0.0,100.0,0.0,0.0,0,23,56.52,4.3478,52.1739,43.4783,0.0,tx,057tx,057905tx
3924,057905045tx,2015,0.0,96.0,0.0,0.0,0,25,96.0,0.0,4.0,96.0,0.0,tx,057tx,057905tx
3925,057905045tx,2016,0.0,91.67,0.0,0.0,0,24,100.0,0.0,16.6667,79.1667,0.0,tx,057tx,057905tx
3926,057905045tx,2017,0.0,93.94,0.0,0.0,0,33,96.97,0.0,24.2424,75.7576,0.0,tx,057tx,057905tx
3927,057905045tx,2018,0.0,96.67,0.0,0.0,0,30,90.0,0.0,23.3333,76.6667,0.0,tx,057tx,057905tx
3928,057905045tx,2019,0.0,78.57,0.0,0.0,0,28,64.29,0.0,7.1429,92.8571,0.0,tx,057tx,057905tx
3929,057905045tx,2021,0.0,35.06,0.0,0.0,0,77,76.62,0.0,14.2857,85.7143,0.0,tx,057tx,057905tx
3930,057905046tx,2015,0.0,77.78,0.0,0.0,0,45,97.78,0.0,24.4444,75.5556,0.0,tx,057tx,057905tx
3931,057905046tx,2016,0.0,76.36,0.0,0.0,0,55,89.09,0.0,18.1818,81.8182,0.0,tx,057tx,057905tx
3932,057905046tx,2017,0.0,86.49,0.0,0.0,0,37,94.59,0.0,10.8108,83.7838,0.0,tx,057tx,057905tx
3933,057905046tx,2018,0.0,83.87,0.0,0.0,0,31,90.32,0.0,9.6774,87.0968,0.0,tx,057tx,057905tx
3934,057905046tx,2019,0.0,100.0,0.0,0.0,0,21,76.19,0.0,14.2857,85.7143,0.0,tx,057tx,057905tx
3935,057905046tx,2021,0.0,31.03,0.0,0.0,0,58,67.24,1.7241,15.5172,81.0345,0.0,tx,057tx,057905tx
3936,057905047tx,2015,0.0,77.27,0.0,0.0,0,44,79.55,9.0909,11.3636,75.0,4.5455,tx,057tx,057905tx
